vehicle_id,trip_start_date,date_updated,position_longitude,trip_schedule_relationship,position_speed,vehicle_current_status,trip_route_id,position_odometer,vehicle_label,trip_id,position_latitude,geographic_point
1253,20200428,2020-05-19 18:00:04,-99.15660095214844,0,1,2,301,759,1000,9736034,19.39590072631836,"19.3959007263,-99.1566009521"
997,,2020-05-19 18:00:04,-99.16629791259766,2,7,2,,0,1024,,19.412799835205078,"19.4127998352,-99.1662979126"
1159,20200428,2020-05-19 18:00:04,-99.12169647216797,0,16,2,367,1176,1050,9734093,19.489900588989258,"19.489900589,-99.1216964722"
533,20200428,2020-05-19 18:00:04,-99.1852035522461,0,12,2,367,511,1059,9732194,19.296499252319336,"19.2964992523,-99.1852035522"
1254,,2020-05-19 18:00:04,-99.16919708251953,2,0,2,,428,1065,,19.27910041809082,"19.2791004181,-99.1691970825"
1257,20200428,2020-05-19 18:00:04,-99.17510223388672,0,10,1,367,0,1068,9732416,19.283000946044922,"19.283000946,-99.1751022339"
1259,,2020-05-19 18:00:04,-99.11959838867188,2,0,2,,0,1070,,19.499099731445312,"19.4990997314,-99.1195983887"
1044,,2020-05-19 18:00:04,-99.18199920654297,2,0,2,367,483,1084,,19.364599227905273,"19.3645992279,-99.1819992065"
1174,20200428,2020-05-19 18:00:04,-99.16429901123047,0,2,2,367,310,1093,9731219,19.41939926147461,"19.4193992615,-99.1642990112"
1165,20200428,2020-05-19 18:00:04,-99.16410064697266,0,3,1,367,0,1106,9730577,19.41990089416504,"19.4199008942,-99.164100647"
1167,20200428,2020-05-19 18:00:04,-99.13749694824219,0,16,2,367,839,1108,9733962,19.470800399780273,"19.4708003998,-99.1374969482"
988,20200428,2020-05-19 18:00:04,-99.17109680175781,0,0,1,367,0,1111,9731606,19.3981990814209,"19.3981990814,-99.1710968018"
990,20200428,2020-05-19 18:00:04,-99.18589782714844,0,14,2,367,243,1113,9729664,19.301700592041016,"19.301700592,-99.1858978271"
1284,,2020-05-19 18:00:04,-99.15489959716797,2,2,2,367,257,1256,,19.441299438476562,"19.4412994385,-99.1548995972"
10015,20200428,2020-05-19 18:00:04,-99.14800262451172,0,0,2,301,510,2303,9736875,19.395299911499023,"19.3952999115,-99.1480026245"
1186,20200428,2020-05-19 18:00:04,-99.04759979248047,0,0,2,301,0,2304,9737862,19.39109992980957,"19.3910999298,-99.0475997925"
1188,20200428,2020-05-19 18:00:04,-99.18550109863281,0,11,2,301,437,2306,9736315,19.40559959411621,"19.4055995941,-99.1855010986"
1190,20200428,2020-05-19 18:00:04,-99.10559844970703,0,0,1,61,0,2308,9741359,19.482200622558594,"19.4822006226,-99.1055984497"
1192,,2020-05-19 18:00:04,-99.05889892578125,2,0,2,,1790,2310,,19.389799118041992,"19.389799118,-99.0588989258"
1238,20200428,2020-05-19 18:00:04,-99.1698989868164,0,7,2,301,0,2347,9736129,19.403499603271484,"19.4034996033,-99.1698989868"
178,20200428,2020-05-19 18:00:04,-99.1791000366211,0,0,2,367,510,120,9731964,19.37339973449707,"19.3733997345,-99.1791000366"
1286,20200428,2020-05-19 18:00:04,-99.11009979248047,0,5,2,161,0,219,9678929,19.45009994506836,"19.4500999451,-99.1100997925"
1287,20200428,2020-05-19 18:00:04,-99.10970306396484,0,10,2,161,306,220,9679184,19.451099395751953,"19.4510993958,-99.109703064"
1289,,2020-05-19 18:00:04,-99.04769897460938,2,0,2,,94,222,,19.391000747680664,"19.3910007477,-99.0476989746"
1302,20200428,2020-05-19 18:00:04,-99.05979919433594,0,4,1,301,0,235,9738091,19.38920021057129,"19.3892002106,-99.0597991943"
361,20200428,2020-05-19 18:00:04,-99.0613021850586,0,0,2,301,454,303,9738145,19.382600784301758,"19.3826007843,-99.0613021851"
370,,2020-05-19 18:00:04,-99.05889892578125,2,0,2,,1790,312,,19.38990020751953,"19.3899002075,-99.0588989258"
1018,20200428,2020-05-19 18:00:04,-99.12950134277344,0,9,2,301,492,339,9737162,19.39780044555664,"19.3978004456,-99.1295013428"
409,20200428,2020-05-19 18:00:04,-99.17240142822266,0,12,2,301,131,351,9736261,19.403900146484375,"19.4039001465,-99.1724014282"
